!SIL	sil
<unk>	spn
slovène	S L O V E N AE
slovènes	S L O V E N
slovènes	S L O V E N Z
smoking	S M O K i NG
snack	S N a K
sobre	S O B R
sobre	S O B R AE
sobriété	S O B R i E T e
sobriété	S O B R i J E T e
soc	S O K
social	S O S J a L
sociale	S O S J a L
sociale	S O S J a L AE
socialement	S O S J a L AE M A~
socialement	S O S J a L AE M A~ T
sociales	S O S J a L
sociales	S O S J a L Z
socialisation	S O S J a L i Z a S J o~
socialisation	S O S J a L i Z a S i o~
socialisation	S O S i a L i Z a S J o~
socialisation	S O S i a L i Z a S i o~
socialisme	S O S J a L i S M
socialisme	S O S J a L i S M AE
socialiste	S O S J a L i S T
socialiste	S O S J a L i S T AE
socialistes	S O S J a L i S T
socialistes	S O S J a L i S T Z
socialisé	S O S J a L i Z e
socialisés	S O S J a L i Z e
socialisés	S O S J a L i Z e Z
socialité	S O S J a L i T e
socialité	S O S i a L i T e
sociaux	S O S J o
sociaux	S O S J o Z
socio	S O S J o
socio	S O S i o
socioculturel	S O S J O K y L T y R E L
socioculturel	S O S i O K y L T y R E L
sociolinguistiques	S O S J O L E~ G H i S T i K
sociolinguistiques	S O S J O L E~ G H i S T i K Z
sociologie	S O S J O L O ZH i
sociologique	S O S J O L O ZH i K
sociologique	S O S J O L O ZH i K AE
sociologiques	S O S J O L O ZH i K
sociologiques	S O S J O L O ZH i K Z
sociologues	S O S J O L O G
sociologues	S O S J O L O G Z
socioprofessionnelles	S O S J O P R O F E S J O N E L
socioprofessionnelles	S O S J O P R O F E S J O N E L Z
socioprofessionnels	S O S J O P R O F E S J O N E L
socioprofessionnels	S O S J O P R O F E S J O N E L Z
socièté	S O S J E T e
socièté	S O S i E T e
sociètés	S O S J E T e
sociètés	S O S J E T e Z
sociètés	S O S i E T e
sociètés	S O S i E T e Z
sociétaire	S O S J E T E R
sociétaire	S O S J E T E R AE
sociétaires	S O S J E T E R
sociétaires	S O S J E T E R Z
société	S O S J E T e
sociétés	S O S J E T e
sociétés	S O S J E T e Z
socle	S O K L
socle	S O K L AE
sodium	S O D J O M
soeurs	S OE R
soeurs	S OE R Z
soi	S W a
soie	S W a
soient	S W a
soient	S W a T
soif	S W a F
soigna	S W a NJ a
soignant	S W a NJ A~
soignant	S W a NJ A~ T
soignantes	S W a NJ A~ T
soignantes	S W a NJ A~ T Z
soignants	S W a NJ A~
soignants	S W a NJ A~ Z
soigner	S W a NJ e
soigner	S W a NJ e R
soigneuse	S W a NJ EU Z
soigneuse	S W a NJ EU Z AE
soigneusement	S W a NJ AX Z AE M A~
soigneusement	S W a NJ AX Z AE M A~ T
soignez	S W a NJ e
soignez	S W a NJ e Z
soigné	S W a NJ e
soin	S W E~
soins	S W E~
soins	S W E~ Z
soir	S W a R
soirs	S W a R
soirs	S W a R Z
soirée	S W a R e
soirées	S W a R e
soirées	S W a R e Z
sois	S W a
sois	S W a Z
soit	S W a
soit	S W a T
soixantaine	S W a S A~ T E N
soixantaine	S W a S A~ T E N AE
soixante	S W a S A~ T
soixante	S W a S A~ T AE
soja	S O ZH a
sol	S O L
solaire	S O L E R
solaire	S O L E R AE
solaires	S O L E R
solaires	S O L E R Z
solarium	S O L a R J O M
soldaient	S O L D E
soldaient	S O L D E T
soldat	S O L D a
soldats	S O L D a
soldats	S O L D a Z
solde	S O L D
solde	S O L D AE
soldera	S O L D AE R a
solderait	S O L D AE R E
solderait	S O L D AE R E T
soldes	S O L D
soldes	S O L D AE
soldée	S O L D e
sole	S O L
sole	S O L AE
soleil	S O L E J
solennel	S O L a N E L
solennelle	S O L a N E L
solennelle	S O L a N E L AE
solennellement	S O L a N E L L AE M A~
solennellement	S O L a N E L L AE M A~ T
solennellement	S O L a N E L L EU M A~
solennellement	S O L a N E L L EU M A~ T
solennellement	S O L a N E L L M A~
solennellement	S O L a N E L L M A~ T
solennelles	S O L a N E L
solennelles	S O L a N E L Z
solidaire	S O L i D E R
solidaire	S O L i D E R AE
solidairement	S O L i D E R AE M A~
solidairement	S O L i D E R AE M A~ T
solidaires	S O L i D E R
solidaires	S O L i D E R Z
solidarité	S O L i D a R i T e
solidarités	S O L i D a R i T e
solidarités	S O L i D a R i T e Z
solide	S O L i D
solide	S O L i D AE
solides	S O L i D
solides	S O L i D Z
solidification	S O L i D i F i K a S J o~
soliste	S O L i S T
soliste	S O L i S T AE
solitaire	S O L i T E R
solitaire	S O L i T E R AE
solitaires	S O L i T E R
solitaires	S O L i T E R Z
solitude	S O L i T y D
solitude	S O L i T y D AE
sollicitant	S O L i S i T A~
sollicitant	S O L i S i T A~ T
sollicitation	S O L i S i T a S J o~
sollicitations	S O L i S i T a S J o~
sollicitations	S O L i S i T a S J o~ Z
sollicite	S O L i S i T
sollicite	S O L i S i T AE
sollicitent	S O L i S i T
sollicitent	S O L i S i T AE T
solliciter	S O L i S i T e
solliciter	S O L i S i T e R
sollicitude	S O L i S i T y D
sollicitude	S O L i S i T y D AE
sollicité	S O L i S i T e
sollicitée	S O L i S i T e
sollicitées	S O L i S i T e
sollicitées	S O L i S i T e Z
sollicités	S O L i S i T e
sollicités	S O L i S i T e Z
solo	S O L o
sols	S O L
sols	S O L Z
soluble	S O L y B L
soluble	S O L y B L AE
solubles	S O L y B L
solubles	S O L y B L Z
solution	S O L y S J o~
solutionner	S O L y S J O N e
solutionner	S O L y S J O N e R
solutions	S O L y S J o~
solutions	S O L y S J o~ Z
solvabilité	S O L V a B i L i T e
solvant	S O L V A~
somatique	S O M a T i K
somatique	S O M a T i K AE
sombre	S o~ B R
sombre	S o~ B R AE
sombres	S o~ B R
sombres	S o~ B R AE
sommaire	S O M E R
sommaire	S O M E R AE
sommairement	S O M E R AE M A~
sommairement	S O M E R AE M A~ T
sommaires	S O M E R
sommaires	S O M E R Z
sommations	S O M a S J o~
sommations	S O M a S J o~ Z
somme	S O M
somme	S O M AE
sommeil	S O M E J
sommes	S O M
sommes	S O M AE
sommet	S O M E
sommets	S O M E
sommets	S O M E Z
somnolence	S O M N O L A~ S
somnolence	S O M N O L A~ S AE
son	S o~
son	S o~ N
sonar	S O N a R
sondage	S o~ D a ZH
sondage	S o~ D a ZH AE
sondages	S o~ D a ZH
sondages	S o~ D a ZH Z
sonde	S o~ D
sonde	S o~ D AE
sonder	S o~ D e
sonder	S o~ D e R
sondes	S o~ D
sondes	S o~ D AE
songe	S o~ ZH
songe	S o~ ZH AE
sonnent	S O N
sonnent	S O N AE T
sonner	S O N e
sonner	S O N e R
sonnette	S O N E T
sonnette	S O N E T AE
sonore	S O N O R
sonore	S O N O R AE
sonores	S O N O R
sonores	S O N O R Z
sonorité	S O N O R i T e
sonorité	S o N o R i T e
sons	S o~
sons	S o~ Z
sont	S o~
sont	S o~ T
sophistication	S O F i S T i K a S J o~
sophistiqué	S O F i S T i K e
sophistiquée	S O F i S T i K e
sophistiquées	S O F i S T i K e
sophistiquées	S O F i S T i K e Z
sophistiqués	S O F i S T i K e
sophistiqués	S O F i S T i K e Z
sophrologie	S O F R O L O ZH i
sophrologie	S o F R o L o ZH i
sorcier	S O R S J e
sorgho	S O R G o
sors	S O R
sort	S O R
sortait	S O R T E
sortait	S O R T E T
sortant	S O R T A~
sortant	S O R T A~ T
sortante	S O R T A~ T
sortante	S O R T A~ T AE
sortants	S O R T A~
sortants	S O R T A~ Z
sorte	S O R T
sorte	S O R T AE
sortent	S O R T
sortent	S O R T AE T
sortes	S O R T
sortes	S O R T AE
sortez	S O R T e
sortez	S O R T e Z
sorti	S O R T i
sortie	S O R T i
sorties	S O R T i
sorties	S O R T i Z
sortir	S O R T i R
sortirions	S O R T i R J o~
sortirions	S O R T i R J o~ Z
sortiront	S O R T i R o~
sortiront	S O R T i R o~ T
sortons	S O R T o~
sortons	S O R T o~ Z
sottement	S O T AE M A~
sottement	S O T AE M A~ T
sottises	S O T i Z
sottises	S O T i Z Z
soubassement	S u B a S AE M A~
soubrette	S u B R E T
soubrette	S u B R E T AE
souche	S u SH
souche	S u SH AE
souches	S u SH
souches	S u SH Z
souci	S u S i
souciaient	S u S J E
souciaient	S u S J E T
souciant	S u S J A~
souciant	S u S J A~ T
soucier	S u S J e
soucier	S u S J e R
soucieuses	S u S J EU Z
soucieuses	S u S J EU Z Z
soucieux	S u S J EU
soucieux	S u S J EU Z
soucis	S u S i
soucis	S u S i Z
soudain	S u D E~
soudainement	S u D E N AE M A~
soudainement	S u D E N AE M A~ T
soudaines	S u D E N
soudaines	S u D E N Z
souder	S u D e
souder	S u D e R
soudure	S u D y R
soudure	S u D y R AE
souffert	S u F E R
soufflaient	S u F L E
soufflaient	S u F L E T
souffrance	S u F R A~ S
souffrance	S u F R A~ S AE
souffrances	S u F R A~ S
souffrances	S u F R A~ S Z
souffrante	S u F R A~ T
souffrante	S u F R A~ T AE
souffre	S u F R
souffre	S u F R AE
souffrent	S u F R
souffrent	S u F R AE T
souffrir	S u F R i R
soufre	S u F R
soufre	S u F R AE
souhait	S u E
souhaitable	S u E T a B L
souhaitable	S u E T a B L AE
souhaitables	S u E T a B L
souhaitables	S u E T a B L Z
souhaitaient	S u E T E
souhaitaient	S u E T E T
souhaitait	S u E T E
souhaitait	S u E T E T
souhaite	S u E T
souhaite	S u E T AE
souhaitent	S u E T
souhaitent	S u E T AE T
souhaiteraient	S u E T AE R E
souhaiteraient	S u E T AE R E T
souhaiterait	S u E T AE R E
souhaiterait	S u E T AE R E T
souhaitez	S u E T e
souhaitez	S u E T e Z
souhaitiez	S u E T J e
souhaitiez	S u E T J e Z
souhaitons	S u E T o~
souhaitons	S u E T o~ Z
souhaits	S u E
souhaits	S u E Z
souhaité	S u E T e
souhaitée	S u E T e
souhaitées	S u E T e
souhaitées	S u E T e Z
souillaient	S u J E
souillaient	S u J E T
souillent	S u J
souillent	S u J AE T
soulagement	S u L a ZH AE M A~
soulager	S u L a ZH e
soulager	S u L a ZH e R
soulever	S u L AE V e
soulever	S u L AE V e R
soulevé	S u L AE V e
soulevées	S u L AE V e
soulevées	S u L AE V e Z
soulevés	S u L AE V e
soulevés	S u L AE V e Z
souliers	S u L J e
souliers	S u L J e Z
soulignait	S u L i NJ E
soulignait	S u L i NJ E T
soulignant	S u L i NJ A~
soulignant	S u L i NJ A~ T
souligne	S u L i NJ
souligne	S u L i NJ AE
soulignent	S u L i NJ
soulignent	S u L i NJ AE T
souligner	S u L i NJ e
souligner	S u L i NJ e R
soulignera	S u L i NJ AE R a
soulignons	S u L i NJ o~
soulignons	S u L i NJ o~ Z
souligné	S u L i NJ e
soulignée	S u L i NJ e
soulignées	S u L i NJ e
soulignées	S u L i NJ e Z
soulignés	S u L i NJ e
soulignés	S u L i NJ e Z
soulève	S u L E V
soulève	S u L E V AE
soulèvements	S u L E V AE M A~
soulèvements	S u L E V AE M A~ Z
soulèvent	S u L E V
soulèvent	S u L E V AE T
soumet	S u M E
soumet	S u M E T
soumettant	S u M E T A~
soumettant	S u M E T A~ T
soumettent	S u M E T
soumettent	S u M E T AE T
soumettre	S u M E T R
soumettre	S u M E T R AE
soumirent	S u M i R
soumirent	S u M i R AE T
soumis	S u M i
soumis	S u M i Z
soumise	S u M i Z
soumise	S u M i Z AE
soumises	S u M i Z
soumises	S u M i Z Z
soumission	S u M i S J o~
soupe	S u P
soupe	S u P AE
soupeser	S u P AX Z e
soupeser	S u P AX Z e R
soupire	S u P i R
soupire	S u P i R AE
souple	S u P L
souple	S u P L AE
souples	S u P L
souples	S u P L Z
souplesse	S u P L E S
souplesse	S u P L E S AE
souplesses	S u P L E S
souplesses	S u P L E S Z
soupçon	S u P S o~
soupçonneux	S u P S O N EU
soupçonneux	S u P S O N EU Z
source	S u R S
source	S u R S AE
sources	S u R S
sources	S u R S Z
sourcilleux	S u R S i J EU
sourcilleux	S u R S i J EU Z
sourds	S u R
sourds	S u R Z
souriant	S u R J A~
souriant	S u R J A~ T
sourient	S u R i
sourient	S u R i T
sourire	S u R i R
sourire	S u R i R AE
sourires	S u R i R
sourires	S u R i R Z
souris	S u R i
souris	S u R i Z
sournoise	S u R N W a Z
sournoise	S u R N W a Z AE
sous	S u
sous	S u Z
souscription	S u S K R i P S J o~
souscrire	S u S K R i R
souscrire	S u S K R i R AE
souscrit	S u S K R i
souscrit	S u S K R i T
souscrivent	S u S K R i V
souscrivent	S u S K R i V AE T
soustraient	S u S T R E
soustraient	S u S T R E T
soustraire	S u S T R E R
soustraire	S u S T R E R AE
soute	S u T
soute	S u T AE
soutenable	S u T AE N a B L
soutenable	S u T AE N a B L AE
soutenaient	S u T AE N E
soutenaient	S u T AE N E T
soutenance	S u T AE N A~ S
soutenance	S u T AE N A~ S AE
soutenances	S u T AE N A~ S
soutenances	S u T AE N A~ S Z
soutenant	S u T AE N A~
soutenant	S u T AE N A~ T
soutenez	S u T AE N e
soutenez	S u T AE N e Z
soutenir	S u T AE N i R
soutenons	S u T AE N o~
soutenons	S u T AE N o~ Z
soutenu	S u T AE N y
soutenue	S u T AE N y
soutenues	S u T AE N y
soutenues	S u T AE N y Z
soutenus	S u T AE N y
soutenus	S u T AE N y Z
souterrain	S u T E R E~
souterraine	S u T E R E N
souterraine	S u T E R E N AE
souterraines	S u T E R E N
souterraines	S u T E R E N Z
souterrains	S u T E R E~
souterrains	S u T E R E~ Z
soutien	S u T J E~
soutiendra	S u T J E~ D R a
soutiens	S u T J E~
soutiens	S u T J E~ Z
soutient	S u T J E~
soutient	S u T J E~ T
souvenez	S u V AE N e
souvenez	S u V AE N e Z
souvenir	S u V AE N i R
souvenirs	S u V AE N i R
souvenirs	S u V AE N i R Z
souvent	S u V A~
souvent	S u V A~ T
souverain	S u V AE R E~
souverainement	S u V EU R E N AE M A~
souverainement	S u V EU R E N AE M A~ T
souverainement	S u V EU R E N EU M A~
souverainement	S u V EU R E N EU M A~ T
souverainement	S u V EU R E N M A~
souverainement	S u V EU R E N M A~ T
souveraineté	S u V AE R E N AE T e
souviennent	S u V J E N
souviennent	S u V J E N AE T
souvins	S u V E~
souvins	S u V E~ Z
soviétique	S O V J E T i K
soviétique	S O V J E T i K AE
soviétiques	S O V J E T i K
soviétiques	S O V J E T i K Z
soyeuses	S W a J EU Z
soyeuses	S W a J EU Z Z
soyez	S W a J e
soyez	S W a J e Z
soyons	S W a J o~
soyons	S W a J o~ Z
spartiate	S P a R S J a T
spartiate	S P a R S J a T AE
spatial	S P a S J a L
spatiale	S P a S J a L
spatiale	S P a S J a L AE
spatiales	S P a S J a L
spatiales	S P a S J a L Z
spatialisée	S P a S J a L i Z e
spatiaux	S P a S J o
spatiaux	S P a S J o Z
spatio	S P a S i o
spatule	S P a T y L
spatule	S P a T y L AE
spectacle	S P E K T a K L
spectacle	S P E K T a K L AE
spectacles	S P E K T a K L
spectacles	S P E K T a K L Z
spectaculaire	S P E K T a K y L E R
spectaculaire	S P E K T a K y L E R AE
spectaculaires	S P E K T a K y L E R
spectaculaires	S P E K T a K y L E R Z
spectateur	S P E K T a T OE R
spectateurs	S P E K T a T OE R
spectateurs	S P E K T a T OE R Z
spectrale	S P E K T R a L
spectrale	S P E K T R a L AE
spectraux	S P E K T R o
spectraux	S P E K T R o Z
spectre	S P E K T R
spectre	S P E K T R AE
spectres	S P E K T R
spectres	S P E K T R Z
spectroscopique	S P E K T R O S K O P i K
spectroscopique	S P E K T R O S K O P i K AE
spermatophore	S P E R M a T O F O R
spermatophore	S P E R M a T O F O R AE
spermatophore	S P E R M a T o F o R
spermatophore	S P E R M a T o F o R AE
spermatozoïdes	S P E R M a T O Z O i D
spermatozoïdes	S P E R M a T O Z O i D Z
sphinctérienne	S F E~ K T E R J E N
sphinctérienne	S F E~ K T E R J E N AE
sphinx	S F E~ K S
sphère	S F E R
sphère	S F E R AE
sphères	S F E R
sphères	S F E R Z
sphérique	S F E R i K
sphérique	S F E R i K AE
spiral	S P i R a L
spirales	S P i R a L
spirales	S P i R a L Z
spiritualisent	S P i R i T y a L i Z
spiritualisent	S P i R i T y a L i Z AE T
splendeur	S P L A~ D OE R
sponsor	S P O N S O R
sponsoring	S P o~ S O R i NG
sponsors	S P O N S O R
sponsors	S P O N S O R Z
spontané	S P o~ T a N e
spontanée	S P o~ T a N e
spontanées	S P o~ T a N e
spontanées	S P o~ T a N e Z
spontanéité	S P o~ T a N E i T e
spontanément	S P o~ T a N E M A~
spontanément	S P o~ T a N E M A~ T
spontanés	S P o~ T a N e
spontanés	S P o~ T a N e Z
sporadique	S P O R a D i K
sporadique	S P O R a D i K AE
sporadiquement	S P O R a D i K AE M A~
sporadiquement	S P O R a D i K AE M A~ T
spore	S P O R
spore	S P O R AE
spores	S P O R
spores	S P O R Z
sport	S P O R
sportif	S P O R T i F
sportifs	S P O R T i F
sportifs	S P O R T i F Z
sportive	S P O R T i V
sportive	S P O R T i V AE
sportives	S P O R T i V
sportives	S P O R T i V Z
sportivité	S P O R T i V i T e
sports	S P O R
sports	S P O R Z
sprint	S P R i N T
spécial	S P E S J a L
spéciale	S P E S J a L
spéciale	S P E S J a L AE
spécialement	S P E S J a L AE M A~
spécialement	S P E S J a L AE M A~ T
spéciales	S P E S J a L
spéciales	S P E S J a L Z
spécialisation	S P E S J a L i Z a S J o~
spécialisations	S P E S J a L i Z a S J o~
spécialisations	S P E S J a L i Z a S J o~ Z
spécialiste	S P E S J a L i S T
spécialiste	S P E S J a L i S T AE
spécialistes	S P E S J a L i S T
spécialistes	S P E S J a L i S T Z
spécialisé	S P E S J a L i Z e
spécialisée	S P E S J a L i Z e
spécialisées	S P E S J a L i Z e
spécialisées	S P E S J a L i Z e Z
spécialisés	S P E S J a L i Z e
spécialisés	S P E S J a L i Z e Z
spécialité	S P E S J a L i T e
spécialités	S P E S J a L i T e
spécialités	S P E S J a L i T e Z
spéciaux	S P E S J o
spéciaux	S P E S J o Z
spécifiant	S P E S i F J A~
spécifiant	S P E S i F J A~ T
spécification	S P E S i F i K a S J o~
spécifications	S P E S i F i K a S J o~
spécifications	S P E S i F i K a S J o~ Z
spécificité	S P E S i F i S i T e
spécificités	S P E S i F i S i T e
spécificités	S P E S i F i S i T e Z
spécifie	S P E S i F i
spécifier	S P E S i F J e
spécifier	S P E S i F J e R
spécifique	S P E S i F i K
spécifique	S P E S i F i K AE
spécifiquement	S P E S i F i K AE M A~
spécifiquement	S P E S i F i K AE M A~ T
spécifiques	S P E S i F i K
spécifiques	S P E S i F i K Z
spécifié	S P E S i F J e
spécifiées	S P E S i F J e
spécifiées	S P E S i F J e Z
spécifiés	S P E S i F J e
spécifiés	S P E S i F J e Z
spécimen	S P E S i M E N
spécimens	S P E S i M E N
spécimens	S P E S i M E N Z
spéculaire	S P E K y L E R
spéculaire	S P E K y L E R AE
spéculateurs	S P E K y L a T OE R
spéculateurs	S P E K y L a T OE R Z
spéculatifs	S P E K y L a T i F
spéculatifs	S P E K y L a T i F Z
spéculation	S P E K y L a S J o~
spéculatives	S P E K y L a T i V
spéculatives	S P E K y L a T i V Z
squames	S K W a M
squames	S K W a M Z
squares	S K W a R
squares	S K W a R Z
squash	S K u a SH
squelette	S K AX L E T
squelette	S K AX L E T AE
squelettes	S K AX L E T
squelettes	S K AX L E T Z
stabilisant	S T a B i L i Z A~
stabilisant	S T a B i L i Z A~ T
stabilisateurs	S T a B i L i Z a T OE R
stabilisateurs	S T a B i L i Z a T OE R Z
stabilisation	S T a B i L i Z a S J o~
stabilise	S T a B i L i Z
stabilise	S T a B i L i Z AE
stabilisent	S T a B i L i Z
stabilisent	S T a B i L i Z AE T
stabiliser	S T a B i L i Z e
stabiliser	S T a B i L i Z e R
stabilisé	S T a B i L i Z e
stabilisée	S T a B i L i Z e
stabilité	S T a B i L i T e
stable	S T a B L
stable	S T a B L AE
stables	S T a B L
stables	S T a B L Z
stade	S T a D
stade	S T a D AE
stades	S T a D
stades	S T a D Z
staff	S T a F
stage	S T a ZH
stage	S T a ZH AE
stages	S T a ZH
stages	S T a ZH Z
stagiaire	S T a ZH J E R
stagiaire	S T a ZH J E R AE
stagiaires	S T a ZH J E R
stagiaires	S T a ZH J E R Z
stagnation	S T a G N a S J o~
stagne	S T a G N
stagne	S T a G N AE
stagnent	S T a G N
stagnent	S T a G N AE T
stagné	S T a G N e
stand	S T A~ D
standard	S T A~ D a R
standardisation	S T A~ D a R D i Z a S o~
standardisé	S T A~ D a R D i Z e
standardisée	S T A~ D a R D i Z e
standardisées	S T A~ D a R D i Z e
standardisées	S T A~ D a R D i Z e Z
standards	S T A~ D a R
standards	S T A~ D a R Z
stands	S T A~ D
stands	S T A~ D Z
staticiens	S T a T i S J E~
staticiens	S T a T i S J E~ Z
staticiens	S T a T i S i E~
staticiens	S T a T i S i E~ Z
station	S T a S J o~
stationnaires	S T a S J O N E R
stationnaires	S T a S J O N E R Z
stationnement	S T a S J O N AE M A~
stations	S T a S J o~
stations	S T a S J o~ Z
statique	S T a T i K
statique	S T a T i K AE
statistique	S T a T i S T i K
statistique	S T a T i S T i K AE
statistiquement	S T a T i S T i K AE M A~
statistiquement	S T a T i S T i K AE M A~ T
statistiquement	S T a T i S T i K EU M A~
statistiquement	S T a T i S T i K EU M A~ T
statistiquement	S T a T i S T i K M A~
statistiquement	S T a T i S T i K M A~ T
statistiques	S T a T i S T i K
statistiques	S T a T i S T i K Z
statuant	S T a T y A~
statuant	S T a T y A~ T
statue	S T a T y
statuer	S T a T y e
statuer	S T a T y e R
statuera	S T a T y R a
statues	S T a T y
statut	S T a T y
statutaire	S T a T y T E R
statutaire	S T a T y T E R AE
statutairement	S T a T y T E R AE M A~
statutairement	S T a T y T E R AE M A~ T
statutaires	S T a T y T E R
statutaires	S T a T y T E R Z
statuts	S T a T y
statuts	S T a T y Z
statué	S T a T y e
stellaire	S T E L E R
stellaire	S T E L E R AE
stellaires	S T E L E R
stellaires	S T E L E R Z
step	S T E P
stimulant	S T i M y L A~
stimulant	S T i M y L A~ T
stimulante	S T i M y L A~ T
stimulante	S T i M y L A~ T AE
stimulation	S T i M y L a S J o~
stimule	S T i M y L
stimule	S T i M y L AE
stimulent	S T i M y L
stimulent	S T i M y L AE T
stimuler	S T i M y L e
stimuler	S T i M y L e R
stimulera	S T i M y L AE R a
stimuli	S T i M y L i
stimulus	S T i M y L y S
stimulée	S T i M y L e
stimulées	S T i M y L e
stimulées	S T i M y L e Z
stipulant	S T i P y L A~
stipulant	S T i P y L A~ T
stipulation	S T i P y L a S J o~
stipulation	S T i P y L a S i o~
stipule	S T i P y L
stipule	S T i P y L AE
stipulons	S T i P y L o~
stipulons	S T i P y L o~ Z
stipulé	S T i P y L e
stochastiques	S T O K a S T i K
stochastiques	S T O K a S T i K Z
stock	S T O K
stockage	S T O K a ZH
stockage	S T O K a ZH AE
stockages	S T O K a ZH
stockages	S T O K a ZH Z
stockant	S T O K A~
stockant	S T O K A~ T
stocker	S T O K e
stocker	S T O K e R
stocks	S T O K
stocks	S T O K Z
